Filme,Ano,CAT0,CAT1,CAT2,CAT3
Ace Ventura - Um Detetive diferente,1994,comédia,ação,aventura,suspense
O Máskara,1994,comédia,fantasia,romance,musical
Debi & Lóide - Dois Idiotas em Apuros,1994,comédia,ação,aventura,romance
Batman Eternamente,1995,ação,aventura,fantasia,suspense
Ace Ventura 2 - Um Maluco na África,1995,comédia,ação,aventura,suspense
O Pentelho,1996,comédia,drama,suspense,
O Mentiroso,1997,comédia,aventura,família,fantasia
Pequeno Milagre,1998,comédia,drama,aventura,família
O Show de Truman - O Show da Vida,1998,comédia,drama,aventura,suspense
O Mundo de Andy,1999,comédia,drama,biografia,
O Grinch,2000,comédia,drama,família,fantasia
Eu Eu Mesmo e Irene,2000,comédia,drama,aventura,família
Cine Majestic,2001,drama,aventura,romance,suspense
Todo Poderoso,2003,comédia,aventura,família,fantasia
Desventuras em Série,2004,comédia,aventura,família,fantasia
Brilho Eterno de uma Mente sem Lembranças,2004,comédia,drama,romance,sci-fi
As Loucuras de Dick & Jane,2005,comédia,ação,crime,romance
Número 23,2007,drama,crime,suspense,
Sim Senhor!,2008,comédia,drama,família,romance
Horton e o Mundo dos Quem,2008,comédia,aventura,fantasia,animação
Os Fantasmas de Scrooge,2009,drama,família,fantasia,animação
O Golpista do Ano,2009,comédia,drama,crime,biografia
Os Pinguins do Papai,2011,comédia,família,fantasia,animação
O Incrível Burt Wonderstone,2013,comédia,drama,aventura,fantasia
Kick-Ass 2,2013,comédia,ação,aventura,crime
Tudo Por um Furo,2013,comédia,ação,aventura,fantasia
Debi & Loide 2,2014,comédia,drama,ação,aventura
Amores Canibais,2016,drama,ação,suspense,sci-fi
crimes Obscuros,2016,drama,ação,crime,suspense
Sonic - O Filme,2020,ação,aventura,animação,sci-fi
Dois Irmãos - Uma Jornada Fantástica,2020,comédia,aventura,fantasia,animação
